id,x,y,z,yaw,pitch,roll
1,1772.34,866.213,0,0.0224564,-0.00316773,-0.0284557
2,1772.69,866.217,0,0.0225704,-0.00215967,-0.0281939
3,1773.12,866.225,0,0.0229354,-0.00343598,-0.0273992
4,1773.52,866.23,0,0.023171,-0.00357654,-0.0280369
5,1773.91,866.234,0,0.0233722,-0.00432637,-0.0289286
6,1774.26,866.245,0,0.0232566,-0.00429214,-0.0281199
7,1774.65,866.251,0,0.0232803,-0.00646467,-0.0272608
8,1775.05,866.258,0,0.0232841,-0.00675733,-0.0273722
9,1775.47,866.263,0,0.0232665,-0.00862231,-0.0273432
10,1775.84,866.271,0,0.0230908,-0.00862766,-0.0274178
11,1776.24,866.275,0,0.0230697,-0.00924255,-0.0276965
12,1776.62,866.275,0,0.0230113,-0.00987265,-0.0270052
13,1777.02,866.275,0,0.0230284,-0.010636,-0.0273237
14,1777.43,866.279,0,0.0230683,-0.011046,-0.0288734
15,1777.86,866.292,0,0.0233133,-0.0098897,-0.0308765
16,1778.24,866.308,0,0.0227066,-0.0095268,-0.0285396
17,1778.64,866.302,0,0.0226477,-0.00968893,-0.0310969
18,1779.07,866.317,0,0.0231132,-0.00777109,-0.0289611
19,1779.48,866.325,0,0.0236962,-0.00824975,-0.0278835
20,1779.89,866.319,0,0.024156,-0.00878261,-0.0312616
21,1780.34,866.321,0,0.0241411,-0.0110812,-0.0350579
22,1780.74,866.332,0,0.0237583,-0.0101951,-0.0334552
23,1781.15,866.341,0,0.0237019,-0.0101657,-0.0334591
24,1781.56,866.342,0,0.023881,-0.00871651,-0.0356546
25,1781.97,866.356,0,0.0243837,-0.00843681,-0.0328679
26,1782.41,866.359,0,0.0245048,-0.00786515,-0.0344634
27,1782.84,866.357,0,0.024815,-0.00662926,-0.0355036
28,1783.25,866.366,0,0.024924,-0.00753248,-0.0344167
29,1783.65,866.375,0,0.0252822,-0.00829915,-0.0328095
30,1784.06,866.381,0,0.0256337,-0.00944254,-0.0321293
31,1784.53,866.391,0,0.0257755,-0.00903554,-0.0314171
32,1784.98,866.396,0,0.0262982,-0.00889783,-0.031378
33,1785.37,866.397,0,0.0265756,-0.00807078,-0.0330633
34,1785.78,866.403,0,0.0268603,-0.00905137,-0.0325201
35,1786.19,866.404,0,0.0270236,-0.00859553,-0.0334156
36,1786.69,866.425,0,0.0272055,-0.00867504,-0.0318021
37,1787.1,866.437,0,0.0276014,-0.00861351,-0.0314911
38,1787.52,866.446,0,0.0277486,-0.00728896,-0.0308741
39,1787.91,866.443,0,0.0278791,-0.00487691,-0.0337716
40,1788.35,866.447,0,0.0284501,-0.0042047,-0.0353844
41,1788.79,866.457,0,0.0288555,-0.00397803,-0.0344018
42,1789.21,866.468,0,0.029368,-0.00394149,-0.0341407
43,1789.64,866.481,0,0.0295927,-0.00420525,-0.0347906
44,1790.1,866.483,0,0.0298769,-0.00452028,-0.0375088
45,1790.48,866.494,0,0.0301669,-0.00513939,-0.0373625
46,1790.92,866.499,0,0.0306508,-0.00418385,-0.0382632
47,1791.34,866.508,0,0.0308995,-0.00288843,-0.0368225
48,1791.76,866.518,0,0.031429,-0.00391891,-0.0368953
49,1792.19,866.524,0,0.0318399,-0.00387914,-0.0371655
50,1792.68,866.533,0,0.0323316,-0.00499532,-0.039003
51,1793.12,866.559,0,0.0326744,-0.00865837,-0.0354439
52,1793.49,866.566,0,0.0329194,-0.0100577,-0.0349878
53,1793.89,866.569,0,0.0333648,-0.00836661,-0.0347507
54,1794.39,866.569,0,0.0339587,-0.00853385,-0.037551
55,1794.81,866.578,0,0.0345542,-0.00885945,-0.0372481
56,1795.19,866.585,0,0.0347827,-0.00805678,-0.0372027
57,1795.62,866.597,0,0.0352736,-0.00813831,-0.0352752
58,1796.1,866.614,0,0.0353739,-0.00736747,-0.0322407
59,1796.52,866.622,0,0.0358506,-0.00746692,-0.0323421
60,1796.95,866.627,0,0.0361337,-0.00617452,-0.0335712
61,1797.38,866.636,0,0.0363899,-0.00597889,-0.0335987
62,1797.82,866.65,0,0.0366086,-0.00593332,-0.0327371
63,1798.21,866.663,0,0.0371127,-0.00557465,-0.031611
64,1798.64,866.672,0,0.037583,-0.00547248,-0.0321631
65,1799.19,866.684,0,0.0383029,-0.0071938,-0.03318
66,1799.53,866.7,0,0.0385483,-0.0090587,-0.0310051
67,1799.88,866.709,0,0.0391174,-0.00726339,-0.0307524
68,1800.31,866.724,0,0.0394829,-0.00713307,-0.0307407
69,1800.78,866.738,0,0.0396901,-0.00739911,-0.0299008
70,1801.23,866.754,0,0.0398397,-0.00844671,-0.0303859
71,1801.63,866.766,0,0.0402163,-0.00831405,-0.031461
72,1802.02,866.772,0,0.0406465,-0.00792649,-0.0334477
73,1802.47,866.784,0,0.0411569,-0.00729344,-0.0333723
74,1802.89,866.799,0,0.041532,-0.00706668,-0.0335948
75,1803.33,866.817,0,0.0419139,-0.00582179,-0.0326432
76,1803.76,866.843,0,0.0424017,-0.00564772,-0.0290047
77,1804.18,866.857,0,0.0428214,-0.00588146,-0.0291452
78,1804.58,866.867,0,0.0430163,-0.00582841,-0.0294204
79,1805,866.876,0,0.0430881,-0.00523254,-0.0301121
80,1805.43,866.894,0,0.0432101,-0.00553979,-0.0285287
81,1805.82,866.904,0,0.0433765,-0.00549399,-0.0288863
82,1806.24,866.911,0,0.0438063,-0.006451,-0.0310008
83,1806.7,866.932,0,0.0440761,-0.00605765,-0.0296627
84,1807.1,866.947,0,0.044443,-0.00621455,-0.0296579
85,1807.51,866.961,0,0.0448334,-0.00682914,-0.0298465
86,1807.92,866.979,0,0.0451292,-0.00546027,-0.0282223
87,1808.45,867.004,0,0.0453658,-0.0050585,-0.0269612
88,1808.94,867.025,0,0.0458391,-0.00467239,-0.0274672
89,1809.3,867.049,0,0.0464279,-0.00519511,-0.0271504
90,1809.67,867.059,0,0.0467755,-0.00403181,-0.0289002
91,1810.07,867.073,0,0.0471442,-0.00446666,-0.0296653
92,1810.55,867.071,0,0.0475855,-0.00462256,-0.0353499
93,1810.97,867.091,0,0.048005,-0.00519056,-0.034888
94,1811.37,867.108,0,0.0482363,-0.00507457,-0.034897
95,1811.78,867.131,0,0.048518,-0.00457063,-0.0341814
96,1812.23,867.149,0,0.0485826,-0.00602356,-0.0350916
97,1812.63,867.168,0,0.0488581,-0.00551664,-0.0352981
98,1813.04,867.18,0,0.0490096,-0.00371111,-0.0355353
99,1813.47,867.2,0,0.0492734,-0.00392123,-0.0349722
100,1813.94,867.22,0,0.049658,-0.00406712,-0.0344821
101,1814.35,867.24,0,0.0499856,-0.00289475,-0.0340432
102,1814.74,867.25,0,0.049844,-0.000734452,-0.0352714
103,1815.13,867.26,0,0.049812,-0.000742681,-0.0354977
104,1815.62,867.289,0,0.0495146,-0.000238336,-0.0325225
105,1816.07,867.303,0,0.0493921,0.000940849,-0.0333465
106,1816.49,867.321,0,0.0491183,-0.00108702,-0.0328543
107,1816.87,867.341,0,0.0488599,-0.00139027,-0.0311092
108,1817.28,867.353,0,0.0485705,-0.00270976,-0.0305356
109,1817.75,867.365,0,0.0481166,-0.0012484,-0.0309624
110,1818.22,867.394,0,0.0478256,-0.00331706,-0.0270533
111,1818.61,867.409,0,0.0473719,-0.00407982,-0.0262107
112,1819.04,867.426,0,0.0466921,-0.00430506,-0.0255265
113,1819.48,867.447,0,0.046118,-0.0052516,-0.0229188
114,1819.91,867.463,0,0.0452917,-0.00461025,-0.0221224
115,1820.31,867.478,0,0.044462,-0.00362484,-0.0215752
116,1820.7,867.487,0,0.0437366,-0.00375608,-0.0218997
117,1821.17,867.495,0,0.0426374,-0.00308023,-0.0235926
118,1821.64,867.516,0,0.0420987,-0.00288255,-0.0232457
119,1822.09,867.527,0,0.0411664,-0.00322084,-0.0235641
120,1822.51,867.535,0,0.0402176,-0.00348113,-0.0237676
121,1822.93,867.548,0,0.0390405,-0.00369427,-0.0229583
122,1823.31,867.56,0,0.038385,-0.00372857,-0.0224768
123,1823.73,867.577,0,0.0373862,-0.00323344,-0.0210848
