id,x,y,z,yaw,pitch,roll
1,-284.897,226.112,-12.6071,2.44862,0.0142451,0.0389936
2,-285.131,226.304,-12.6095,2.44864,0.0132879,0.0379026
3,-285.361,226.504,-12.6127,2.44887,0.0125866,0.0364836
4,-285.588,226.709,-12.6406,2.44921,0.0101945,0.035453
5,-285.81,226.917,-12.6306,2.45025,0.0100183,0.0315296
6,-286.012,227.109,-12.6259,2.45042,0.0102048,0.0307731
7,-286.201,227.289,-12.6422,2.44898,0.00975065,0.0324415
8,-286.42,227.469,-12.63,2.44997,0.00991532,0.0328253
9,-286.644,227.658,-12.6157,2.4514,0.00777829,0.033106
10,-286.86,227.826,-12.6313,2.45143,0.00631254,0.0341278
11,-287.049,228.018,-12.6124,2.45172,0.0022666,0.0339181
12,-287.252,228.2,-12.5898,2.45096,-0.00192244,0.0345757
13,-287.449,228.354,-12.6304,2.45113,-0.00462586,0.0373981
14,-287.649,228.505,-12.6491,2.45051,-0.00427729,0.0394543
15,-287.833,228.675,-12.6605,2.4509,-0.00239906,0.040264
16,-287.984,228.818,-12.6583,2.45074,-0.00118672,0.0405049
17,-288.145,228.979,-12.6664,2.45059,-0.00108291,0.0397729
18,-288.346,229.127,-12.6914,2.45157,0.000617076,0.0414395
19,-288.537,229.279,-12.6979,2.45209,0.00468963,0.041087
20,-288.696,229.413,-12.6805,2.45248,0.00591713,0.0393318
21,-288.845,229.543,-12.6754,2.45285,0.00666639,0.035595
22,-289.015,229.691,-12.6874,2.45381,0.00534745,0.0358113
23,-289.162,229.838,-12.7042,2.45362,0.00535659,0.0374483
24,-289.323,229.955,-12.7039,2.45317,0.00930904,0.0391759
25,-289.454,230.089,-12.7142,2.45418,0.0120349,0.0396497
26,-289.614,230.2,-12.7112,2.45554,0.0140793,0.0430442
27,-289.74,230.344,-12.6943,2.45533,0.0148997,0.0438524
28,-289.882,230.458,-12.6838,2.4544,0.0143751,0.0433439
29,-290.027,230.583,-12.687,2.45527,0.0120527,0.0435892
30,-290.171,230.694,-12.6931,2.45652,0.00929821,0.0441349
31,-290.305,230.812,-12.6792,2.45636,0.00822138,0.043109
32,-290.411,230.915,-12.6475,2.45728,0.0065613,0.0394952
33,-290.531,231.046,-12.6715,2.45642,0.00165774,0.040777
34,-290.684,231.154,-12.6713,2.45611,-0.00056269,0.0405784
35,-290.811,231.292,-12.6028,2.45583,-0.006819,0.0397512
36,-290.939,231.394,-12.6256,2.45476,-0.0144964,0.0402539
37,-291.061,231.499,-12.6923,2.455,-0.0155633,0.0389802
38,-291.182,231.595,-12.7414,2.45521,-0.00988919,0.0394625
39,-291.302,231.692,-12.784,2.45592,-0.00100145,0.0415629
40,-291.417,231.803,-12.7284,2.45641,0.00457068,0.040428
41,-291.54,231.917,-12.6995,2.45601,0.00215574,0.0420021
42,-291.666,232.039,-12.722,2.45496,-0.00138545,0.0460221
43,-291.807,232.136,-12.7454,2.45399,-0.00105802,0.0512022
44,-291.927,232.242,-12.7668,2.45311,0.00137604,0.0556993
45,-292.053,232.341,-12.7503,2.45431,0.00391711,0.0543952
46,-292.161,232.447,-12.7496,2.45519,0.0064962,0.0490781
47,-292.28,232.547,-12.7352,2.45576,0.0074206,0.0453234
48,-292.4,232.664,-12.7353,2.4565,0.00500332,0.044944
49,-292.517,232.776,-12.7389,2.4552,0.00349008,0.0465352
50,-292.64,232.859,-12.7673,2.45442,0.00389023,0.0478132
51,-292.755,232.955,-12.7697,2.45538,0.00543082,0.0501448
52,-292.883,233.058,-12.7629,2.45437,0.00608241,0.0506299
53,-293.001,233.167,-12.7744,2.45354,0.00647502,0.0489535
54,-293.136,233.264,-12.7883,2.45531,0.00909526,0.0481996
55,-293.256,233.369,-12.7695,2.45644,0.0109521,0.0490975
56,-293.386,233.499,-12.7353,2.45587,0.0077612,0.0463531
57,-293.519,233.627,-12.7398,2.45454,-0.000463149,0.043484
58,-293.66,233.728,-12.776,2.45446,-0.00306997,0.0429552
59,-293.783,233.839,-12.7825,2.45663,-0.00252558,0.0445476
60,-293.926,233.961,-12.7754,2.45766,-0.00319761,0.048239
61,-294.035,234.079,-12.756,2.45728,-0.0055696,0.0480837
62,-294.17,234.198,-12.7768,2.45574,-0.00754675,0.0495964
63,-294.303,234.311,-12.7861,2.45513,-0.00665886,0.0501344
64,-294.441,234.422,-12.7777,2.45555,-0.00633625,0.0511928
65,-294.569,234.542,-12.7845,2.45474,-0.00595557,0.0519131
66,-294.7,234.652,-12.7825,2.45414,-0.00455225,0.049453
67,-294.829,234.762,-12.7802,2.45521,-0.00480345,0.0478111
68,-294.959,234.88,-12.7849,2.45566,-0.00481717,0.0475772
69,-295.094,234.994,-12.7839,2.45468,-0.00475302,0.0471753
70,-295.225,235.108,-12.7849,2.45478,-0.00503363,0.0472017
71,-295.356,235.229,-12.7904,2.45515,-0.00498501,0.0480323
72,-295.494,235.344,-12.7889,2.45451,-0.00506962,0.0485116
73,-295.618,235.464,-12.785,2.45346,-0.00525418,0.0479534
74,-295.76,235.573,-12.7933,2.45305,-0.00575232,0.0487738
75,-295.893,235.687,-12.7905,2.45382,-0.0057077,0.0488523
76,-296.027,235.81,-12.8014,2.45344,-0.00574896,0.0486896
77,-296.164,235.93,-12.8008,2.45269,-0.00484256,0.0477309
78,-296.29,236.044,-12.8006,2.45269,-0.00506434,0.0458855
79,-296.427,236.163,-12.8163,2.45393,-0.00551816,0.0452191
80,-296.574,236.301,-12.826,2.45386,-0.00427848,0.0453088
81,-296.707,236.415,-12.8156,2.45335,-0.00239837,0.044657
82,-296.846,236.535,-12.8064,2.45384,-0.00169953,0.0460917
83,-296.991,236.66,-12.8084,2.45396,-0.00163976,0.0471538
84,-297.13,236.778,-12.8208,2.45372,-0.00206831,0.0473166
85,-297.276,236.899,-12.8247,2.45374,-0.00163406,0.0467069
86,-297.415,237.025,-12.828,2.45302,-0.000502119,0.046568
87,-297.55,237.151,-12.8174,2.4529,-0.00012793,0.0457379
88,-297.694,237.279,-12.8153,2.45357,-0.00102426,0.0455203
89,-297.841,237.408,-12.8254,2.45492,-0.0018804,0.0458672
90,-297.982,237.528,-12.8276,2.45452,-0.00193702,0.045698
91,-298.126,237.658,-12.8309,2.45419,-0.00280074,0.0444346
92,-298.272,237.79,-12.8255,2.45488,-0.003027,0.0435823
93,-298.417,237.913,-12.8277,2.45565,-0.00307507,0.0428716
94,-298.559,238.04,-12.8325,2.45549,-0.00352092,0.0420958
95,-298.711,238.16,-12.8239,2.45497,-0.00432402,0.0407728
96,-298.857,238.287,-12.8213,2.45564,-0.00587166,0.0394405
97,-299.003,238.426,-12.8153,2.45605,-0.00755458,0.038675
98,-299.153,238.556,-12.8117,2.45615,-0.00928996,0.0376563
99,-299.296,238.684,-12.8262,2.45755,-0.00960041,0.0367785
100,-299.437,238.798,-12.8308,2.45753,-0.00789367,0.035275
101,-299.585,238.933,-12.8292,2.45831,-0.00704137,0.0344818
102,-299.745,239.074,-12.8385,2.45878,-0.00675538,0.0372677
103,-299.89,239.195,-12.8359,2.45876,-0.00568652,0.0395262
104,-300.04,239.326,-12.8194,2.45962,-0.00621229,0.0375376
105,-300.19,239.451,-12.8235,2.45982,-0.0067716,0.0354342
106,-300.342,239.58,-12.8299,2.4603,-0.0057389,0.0333311
107,-300.494,239.721,-12.8374,2.46109,-0.00512871,0.0322632
108,-300.645,239.85,-12.8339,2.46164,-0.00450338,0.0310903
109,-300.794,239.971,-12.8327,2.46269,-0.00441006,0.0296446
110,-300.949,240.092,-12.8372,2.4629,-0.00452572,0.029256
111,-301.107,240.231,-12.8401,2.46313,-0.00513648,0.0288887
112,-301.27,240.364,-12.8462,2.46321,-0.00491104,0.0282181
113,-301.423,240.497,-12.8434,2.46324,-0.00349207,0.0261724
114,-301.592,240.632,-12.8552,2.46596,-0.00351097,0.0231808
115,-301.752,240.742,-12.8455,2.46855,-0.00608478,0.0221256
116,-301.916,240.883,-12.8429,2.47048,-0.00707303,0.01964
117,-302.085,241.02,-12.8543,2.47294,-0.00715806,0.0179149
118,-302.241,241.145,-12.8519,2.4746,-0.00680613,0.0186179
119,-302.398,241.268,-12.851,2.4777,-0.00617698,0.0175755
120,-302.572,241.392,-12.8558,2.48028,-0.00599223,0.0174654
121,-302.74,241.526,-12.8555,2.48188,-0.00570866,0.0178797
122,-302.897,241.649,-12.8568,2.48404,-0.00592468,0.0174547
123,-303.069,241.775,-12.8578,2.48651,-0.0059222,0.0166134
124,-303.24,241.901,-12.8626,2.48972,-0.00569555,0.0157473
125,-303.413,242.028,-12.868,2.49282,-0.00603246,0.0149735
126,-303.578,242.157,-12.8677,2.49593,-0.00603223,0.013957
127,-303.745,242.274,-12.8706,2.49916,-0.00598786,0.0132109
128,-303.923,242.402,-12.8733,2.50308,-0.00541079,0.0124634
129,-304.105,242.522,-12.8679,2.50891,-0.00514221,0.0110219
130,-304.269,242.639,-12.8652,2.51347,-0.00477988,0.0111314
131,-304.447,242.753,-12.8773,2.51822,-0.00508272,0.0124517
132,-304.64,242.871,-12.8687,2.5243,-0.00750081,0.0148064
133,-304.832,242.977,-12.8575,2.53194,-0.00992142,0.016601
134,-305.014,243.084,-12.8639,2.5414,-0.0113741,0.0156981
135,-305.196,243.195,-12.8615,2.55178,-0.0128627,0.011203
136,-305.386,243.294,-12.8556,2.56282,-0.0128283,0.00725317
137,-305.575,243.395,-12.8509,2.57433,-0.0125963,0.00597359
138,-305.773,243.48,-12.8617,2.58584,-0.0125239,0.00637248
139,-305.97,243.547,-12.8602,2.59809,-0.0125022,0.00633005
140,-306.173,243.636,-12.8608,2.61049,-0.0125908,0.0059784
141,-306.369,243.711,-12.8582,2.62316,-0.0131715,0.00595644
142,-306.573,243.773,-12.8587,2.63635,-0.0134835,0.00540185
143,-306.78,243.841,-12.8594,2.64966,-0.0131742,0.00322325
144,-306.985,243.922,-12.8634,2.66575,-0.0147879,0.000960556
145,-307.19,243.979,-12.8552,2.68023,-0.0147961,0.00227975
146,-307.395,244.031,-12.8589,2.69535,-0.013727,0.00420098
147,-307.609,244.078,-12.8593,2.71133,-0.0136685,0.00532032
148,-307.834,244.131,-12.8568,2.72843,-0.0141015,0.00675414
149,-308.048,244.166,-12.8653,2.74642,-0.0130298,0.00731807
150,-308.272,244.201,-12.8582,2.76562,-0.0120412,0.00536929
151,-308.497,244.221,-12.8595,2.786,-0.011554,0.00374327
152,-308.712,244.256,-12.8619,2.80752,-0.0116209,0.00279738
153,-308.937,244.277,-12.8553,2.82862,-0.0113347,0.00131038
154,-309.171,244.283,-12.8587,2.85131,-0.0110513,0.00226081
155,-309.401,244.279,-12.861,2.87502,-0.0101391,0.00333899
156,-309.63,244.261,-12.8612,2.89802,-0.00885568,0.00270976
157,-309.856,244.256,-12.8671,2.92209,-0.00772163,0.00147814
158,-310.079,244.229,-12.8683,2.94658,-0.00690669,-0.000858482
159,-310.317,244.209,-12.8689,2.97143,-0.00668169,-0.00138936
160,-310.536,244.184,-12.8682,2.99722,-0.00601642,-0.00161095
161,-310.77,244.137,-12.8715,3.02214,-0.00569561,-0.000647065
162,-311.006,244.084,-12.8722,3.04689,-0.00560312,0.000369527
163,-311.253,244.022,-12.8791,3.07192,-0.00517172,0.00171882
164,-311.468,243.967,-12.8903,3.09856,-0.00554451,0.00317346
165,-311.707,243.902,-12.8873,3.12484,-0.0057717,0.00322109
166,-311.941,243.822,-12.8951,-3.13175,-0.00494933,0.00375536
167,-312.174,243.747,-12.8916,-3.10449,-0.00356966,0.00398279
168,-312.396,243.658,-12.8988,-3.07761,-0.00238843,0.00364384
169,-312.635,243.551,-12.898,-3.05071,-0.00328566,0.00423599
170,-312.862,243.459,-12.9001,-3.02238,-0.00342741,0.00476818
171,-313.101,243.333,-12.8957,-2.99396,-0.0031022,0.00611257
172,-313.34,243.219,-12.9045,-2.96582,-0.0024601,0.00785114
173,-313.572,243.088,-12.9089,-2.93753,-0.000394932,0.00926432
174,-313.804,242.964,-12.9069,-2.9088,0.00223032,0.00958007
175,-314.029,242.825,-12.9191,-2.87992,0.00253681,0.010333
176,-314.281,242.656,-12.9258,-2.85143,0.000329802,0.012359
177,-314.505,242.497,-12.9212,-2.82294,-0.0016849,0.0118601
178,-314.751,242.345,-12.9257,-2.79465,-0.00314256,0.0089822
179,-315.001,242.153,-12.9353,-2.76488,-0.00418199,0.00932826
180,-315.242,241.962,-12.9385,-2.73695,-0.00327411,0.0126725
181,-315.499,241.762,-12.943,-2.70884,-0.00275488,0.015117
182,-315.753,241.549,-12.9489,-2.68148,-0.00185974,0.0161012
183,-315.999,241.329,-12.946,-2.65576,-0.0010849,0.0156529
184,-316.249,241.12,-12.9454,-2.62909,0.000420126,0.0141131
185,-316.489,240.894,-12.9527,-2.60282,0.00256825,0.0122426
186,-316.736,240.664,-12.9465,-2.57947,0.0035013,0.00913685
187,-316.967,240.431,-12.9441,-2.5585,0.00569595,0.0039099
188,-317.205,240.213,-12.9634,-2.53861,0.00796305,0.000753708
189,-317.449,239.991,-12.9836,-2.51987,0.00795898,0.00231656
190,-317.687,239.744,-12.9907,-2.50256,0.00632,0.00628544
191,-317.92,239.513,-12.993,-2.48657,0.00356841,0.00929222
192,-318.17,239.279,-12.9799,-2.46933,0.000770138,0.0107587
193,-318.388,239.034,-12.9838,-2.45173,0.000483036,0.0120833
194,-318.613,238.792,-12.9883,-2.43535,0.00165552,0.0126086
195,-318.849,238.543,-12.9963,-2.41813,0.00161351,0.0112548
196,-319.071,238.3,-13.01,-2.40148,0.000756549,0.0102993
197,-319.286,238.032,-13.0158,-2.38607,-0.00147422,0.0096079
198,-319.512,237.754,-13.0213,-2.37125,-0.00335949,0.00992876
199,-319.754,237.493,-13.0386,-2.35752,-0.00655853,0.0112275
200,-319.976,237.198,-13.0405,-2.34479,-0.0112412,0.0118185
201,-320.233,236.887,-13.0347,-2.3335,-0.0178114,0.0108347
